i,sign_us
456,4630.08
457,4687.808
458,4665.664
459,4684.64
460,4758.496
461,4674.4
462,4674.464
463,4659.584
464,4679.072
465,4681.856
466,4698.048
467,4676.224
468,4666.144
469,4691.232
470,4691.2
471,4664.8
472,4665.664
473,4683.616
474,4651.52
475,4662.88
476,4673.632
477,4688.416
478,4680.928
479,4664.032
480,4663.392
481,4686.464
482,4734.56
483,4667.552
484,4664.576
485,4622.176
486,4663.872
487,4663.328
488,4675.328
489,4671.904
490,4714.656
491,4654.272
492,4665.056
493,4688.192
494,4666.112
495,4659.744
496,4658.976
497,4664.512
498,4659.328
499,4686.848
500,4658.432
501,4699.392
502,4668.864
503,4670.56
504,4740.992
505,4695.04
506,4670.976
507,4694.24
508,4802.688
509,4798.72
510,4673.6
511,4695.392
512,4683.136
513,4677.6
514,4668.32
515,4664.896
516,4735.008
517,4765.6
518,4688.416
519,4670.848
520,4671.52
521,4671.904
522,4662.752
523,4646.816
524,4672.864
525,4699.04
526,4713.6
527,4690.976
528,4677.376
529,4662.144
530,4662.368
531,4662.144
532,4684.032
533,4685.984
534,4661.472
535,4660.448
536,4671.296
537,4645.344
538,4684.768
539,4659.04
540,4706.464
541,4665.312
542,4662.4
543,4667.968
544,4682.304
545,4663.584
546,4684.768
547,4656.832
548,4760.832
549,4663.104
550,4657.28
551,4664.0
552,4663.136
553,4686.4
554,4651.2
555,4692.096
556,4684.928
557,4691.968
558,4663.296
559,4668.32
560,4672.672
561,4673.056
562,4669.312
563,4690.528
564,4649.984
565,4662.464
566,4666.208
567,4666.24
568,4686.4
569,4735.04
570,4661.952
571,4673.568
572,4651.744
573,4676.704
574,4700.864
575,4696.064
576,4676.992
577,4638.496
578,4673.728
579,4656.32
580,4663.328
581,4661.92
582,4678.848
583,4648.352
584,4679.072
585,4664.672
586,4675.264
587,4660.544
588,4687.456
589,4686.144
590,4669.504
591,4730.4
592,4701.088
593,4703.232
594,4696.576
595,4670.88
596,4700.992
597,4693.792
598,4667.808
599,4654.08
600,4670.368
601,4673.888
602,4662.08
603,4661.504
604,4675.616
605,4683.168
606,4684.8
607,4660.704
608,4661.12
609,4688.288
610,4664.8
611,4681.536
612,4666.944
613,4728.416
614,4672.352
615,4688.448
616,4662.816
617,4656.032
618,4680.0
619,4668.288
620,4678.56
621,4668.896
622,4678.752
623,4686.688
624,4685.216
625,4667.104
626,4660.512
627,4665.632
628,4682.816
629,4659.552
630,4658.432
631,4686.464
632,4672.704
633,4664.224
634,4654.72
635,4747.968
636,4676.224
637,4697.472
638,4662.944
639,4659.968
640,4660.096
641,4668.096
642,4652.288
643,4674.24
644,4643.264
645,4697.696
646,4642.56
647,4662.272
648,4656.832
649,4674.848
650,4656.864
651,4659.52
652,4658.336
653,4663.392
654,4658.528
655,4664.8
656,4651.456
657,4741.632
658,4679.392
659,4667.616
660,4666.752
661,4688.576
662,4668.896
663,4675.2
664,4662.72
665,4664.224
666,4656.096
667,4689.728
668,4670.816
669,4675.808
670,4662.144
671,4682.016
672,4689.152
673,4684.192
674,4661.12
675,4657.408
676,4682.176
677,4719.584
678,4681.312
679,4755.488
680,4698.432
681,4665.056
682,4667.2
683,4663.616
684,4637.888
685,4671.424
686,4663.424
687,4660.832
688,4648.608
689,4659.712
690,4662.208
691,4661.216
692,4691.968
693,4659.296
694,4659.872
695,4683.904
696,4659.84
697,4664.8
698,4659.744
699,4665.024
700,4660.512
701,4729.632
702,4665.056
703,4673.28
704,4688.64
705,4666.592
706,4678.912
707,4669.824
708,4660.192
709,4666.208
710,4688.896
711,4663.808
712,4658.88
713,4664.672
714,4667.84
715,4638.528
716,4696.48
717,4646.368
718,4680.8
719,4702.24
720,4705.248
721,5154.496
722,4674.048
723,4734.752
724,4692.032
725,4674.4
726,4686.56
727,4663.552
728,4671.904
729,4693.888
730,4705.76
731,4667.168
732,4654.784
733,4666.176
734,4664.96
735,4682.272
736,4666.784
737,4653.728
738,4664.288
739,4658.88
740,4671.424
741,4664.704
742,4666.88
743,4680.736
744,4687.904
745,4747.904
746,4686.528
747,4683.36
748,4645.6
749,4665.216
750,4632.288
751,4670.112
752,4685.728
753,4664.0
754,4691.104
755,4676.416
756,4661.408
757,4660.416
758,4662.112
759,4667.488
760,4686.848
761,4661.76
762,4661.952
763,4650.56
764,4693.28
765,4665.504
766,4662.176
767,4734.848
768,4654.848
769,4687.584
770,4672.224
771,4658.4
772,4661.856
773,4661.632
774,4686.432
775,4659.04
776,4676.192
777,4659.264
778,4665.056
779,4667.52
780,4661.6
781,4662.464
782,4658.88
783,4674.464
784,4661.152
785,4662.368
786,4658.912
787,4666.112
788,4742.752
789,4685.248
790,4678.272
791,4674.016
792,4690.464
793,4682.688
794,4664.96
795,4666.688
796,4687.84
797,4662.56
798,4672.928
799,4624.256
800,4631.712
801,4670.368
802,4667.008
803,4669.44
804,4661.92
805,4696.192
806,4662.016
807,4653.472
808,4662.72
809,4675.296
810,4701.088
811,4695.104
812,4675.648
813,4667.648
814,4678.912
815,4666.112
816,4687.552
817,4684.288
818,4689.344
819,4661.792
820,4659.584
821,4684.704
822,4659.968
823,4650.272
824,4669.92
825,4692.384
826,4684.96
827,4677.696
828,4690.432
829,4647.136
830,4661.536
831,4695.392
832,4748.032
833,4669.024
834,4672.864
835,4664.128
836,4681.024
837,4671.744
838,4673.728
839,4668.96
840,4663.936
841,4679.872
842,4666.592
843,4663.296
844,4662.432
845,4683.168
846,4657.76
847,4663.744
848,4673.984
849,4665.248
850,4665.728
851,4646.112
852,4666.496
853,4648.416
854,4732.032
855,4688.864
856,4668.352
857,4639.008
858,4692.736
859,4663.712
860,4695.104
861,4686.304
862,4686.752
863,4661.024
864,4662.272
865,4636.352
866,4681.408
867,4685.76
868,4656.928
869,4659.296
870,4684.576
871,4682.304
872,4690.88
873,4690.976
874,4670.88
875,4642.016
876,4756.8
877,4669.312
878,4684.992
879,4661.504
880,4657.568
881,4683.552
882,4680.48
883,4659.552
884,4687.648
885,4668.0
886,4660.544
887,4684.736
888,4635.232
889,4661.504
890,4661.664
891,4659.072
892,4664.768
893,4663.488
894,4659.328
895,4659.904
896,4693.632
897,4684.608
898,4727.136
899,4658.784
900,4701.12
901,4653.952
902,4674.016
903,4653.408
904,4690.56
905,4661.632
906,4688.256
907,4659.968
908,4672.672
909,4669.472
910,4659.712
911,4654.912
912,4684.704
913,4656.736
914,5124.512
915,4664.704
916,4690.912
917,4669.312
918,4665.824
919,5122.912
920,4752.672
921,4690.4
922,4664.704
923,4660.608
924,4690.016
925,4652.192
926,4668.416
927,4664.608
928,4653.664
929,4662.784
930,4672.0
931,4674.272
932,4675.424
933,4682.048
934,4685.952
935,4660.928
936,4667.52
937,4682.208
938,4692.896
939,4674.112
940,4658.976
941,4727.232
942,4690.976
943,4689.792
944,4703.52
945,4693.504
946,4669.984
947,4646.944
948,4666.432
949,4642.272
950,4639.808
951,4667.36
952,4666.048
953,4686.048
954,4683.488
955,4662.432
956,4683.744
957,4680.608
958,4662.208
959,4659.264
960,4668.128
961,4661.312
962,4665.408
963,4739.392
964,4702.976
965,4692.48
966,4666.72
967,4667.008
968,4677.824
969,4667.424
970,4663.84
971,4661.472
972,4681.408
973,4663.296
974,4658.592
975,4662.496
976,4680.928
977,4683.424
978,4650.336
979,4689.12
980,4692.384
981,4666.656
982,4668.16
983,4683.648
984,4662.528
985,4735.296
986,4673.664
987,4697.312
988,4635.488
989,4665.312
990,4655.936
991,4671.008
992,4676.8
993,4651.968
994,4669.344
995,4664.736
996,4684.512
997,4682.624
998,4666.368
999,4659.872
