N,k,f_theoretical,n_colluders,forced_accept_integer,forced_accept_reputation
3,2,0,0,False,False
3,2,0,1,False,False
3,2,0,2,True,True
5,4,1,0,False,False
5,4,1,1,False,False
5,4,1,2,False,False
5,4,1,3,True,False
5,4,1,4,True,True
7,6,1,0,False,False
7,6,1,1,False,False
7,6,1,2,False,False
7,6,1,3,False,False
7,6,1,4,False,False
7,6,1,5,True,False
7,6,1,6,True,True
