scene,variant,seed,patch_area_pct,phi_deg,victim_conf,peer_patched_conf,peer_clean_conf,action_delta
zidane.jpg,single-view,2,5.06,0,0.387,0.387,0.847,0.0
zidane.jpg,single-view,2,5.06,3,0.387,0.433,0.788,0.6864
zidane.jpg,single-view,2,5.06,6,0.387,0.513,0.772,0.2744
zidane.jpg,single-view,2,5.06,9,0.387,0.518,0.713,0.3141
zidane.jpg,single-view,2,5.06,12,0.387,0.546,0.622,0.3777
zidane.jpg,single-view,2,5.06,15,0.387,0.661,0.625,0.6095
zidane.jpg,single-view,2,5.06,18,0.387,0.79,0.681,0.8515
zidane.jpg,single-view,2,5.06,21,0.387,0.707,0.644,0.6599
zidane.jpg,single-view,2,5.06,23,0.387,0.786,0.547,0.87
zidane.jpg,viewpoint-robust,0,5.06,0,0.43,0.43,0.847,0.0
zidane.jpg,viewpoint-robust,0,5.06,3,0.43,0.408,0.788,0.5406
zidane.jpg,viewpoint-robust,0,5.06,6,0.43,0.363,0.772,0.4609
zidane.jpg,viewpoint-robust,0,5.06,9,0.43,0.541,0.713,0.2907
zidane.jpg,viewpoint-robust,0,5.06,12,0.43,0.37,0.622,0.4783
zidane.jpg,viewpoint-robust,0,5.06,15,0.43,0.602,0.625,0.5108
zidane.jpg,viewpoint-robust,0,5.06,18,0.43,0.404,0.681,0.846
zidane.jpg,viewpoint-robust,0,5.06,21,0.43,0.292,0.644,1.194
zidane.jpg,viewpoint-robust,0,5.06,23,0.43,0.341,0.547,1.0184
zidane.jpg,viewpoint-robust,1,5.06,0,0.614,0.614,0.847,0.0
zidane.jpg,viewpoint-robust,1,5.06,3,0.614,0.308,0.788,0.589
zidane.jpg,viewpoint-robust,1,5.06,6,0.614,0.389,0.772,0.6069
zidane.jpg,viewpoint-robust,1,5.06,9,0.614,0.284,0.713,1.5102
zidane.jpg,viewpoint-robust,1,5.06,12,0.614,0.367,0.622,0.9056
zidane.jpg,viewpoint-robust,1,5.06,15,0.614,0.403,0.625,1.1251
zidane.jpg,viewpoint-robust,1,5.06,18,0.614,0.403,0.681,0.7643
zidane.jpg,viewpoint-robust,1,5.06,21,0.614,0.356,0.644,0.9247
zidane.jpg,viewpoint-robust,1,5.06,23,0.614,0.436,0.547,1.0825
zidane.jpg,viewpoint-robust,2,5.06,0,0.581,0.581,0.847,0.0
zidane.jpg,viewpoint-robust,2,5.06,3,0.581,0.491,0.788,0.7593
zidane.jpg,viewpoint-robust,2,5.06,6,0.581,0.728,0.772,0.7542
zidane.jpg,viewpoint-robust,2,5.06,9,0.581,0.538,0.713,0.5405
zidane.jpg,viewpoint-robust,2,5.06,12,0.581,0.43,0.622,0.42
zidane.jpg,viewpoint-robust,2,5.06,15,0.581,0.486,0.625,0.7812
zidane.jpg,viewpoint-robust,2,5.06,18,0.581,0.522,0.681,0.3508
zidane.jpg,viewpoint-robust,2,5.06,21,0.581,0.448,0.644,0.6007
zidane.jpg,viewpoint-robust,2,5.06,23,0.581,0.426,0.547,0.4244
